Word,Joint_Prob,Posterior_Prob,Frequency
201st,1.5,0.75,2
cooki,1.5,0.5,3
latina,1.5,0.5,3
exxon-mobil,1.5,0.5,3
bohnett,1.5,0.75,2
garff,1.5,0.75,2
punch.,1.5,0.75,2
board-certifi,1.5,0.5,3
hrc,1.5,0.75,2
farthest-out,1.5,0.75,2
atterburi,1.5,0.5,3
alma,1.5,0.75,2
clapp,1.5,0.75,2
uighur,1.5,0.75,2
xie,1.5,0.75,2
/,1.5,0.5,3
smolik,1.5,0.5,3
nam,1.5,0.75,2
louie,1.5,0.75,2
abdullah,1.5,0.75,2
oppos,1.5,0.5,3
alyc,1.5,0.5,3
x-ray,1.5,0.75,2
belafont,1.5,0.5,3
gershwin,1.5,0.75,2
75-year,1.5,0.75,2
misalloc,1.5,0.5,3
cbc,1.5,0.75,2
munir,1.5,0.75,2
17-and-a-half,1.5,0.75,2
cockpit,1.5,0.75,2
mum,1.5,0.5,3
single-pay,1.5,0.5,3
kastenmei,1.5,0.5,3
plantiff,1.5,0.75,2
ibadan,1.5,0.75,2
murilo,1.5,0.75,2
que,1.5,0.75,2
bloodworth,1.5,0.75,2
bayonet,1.5,0.5,3
arithmet,1.5,0.5,3
columba,1.5,0.5,3
148th,1.5,0.75,2
concess,1.5,0.5,3
1928.,1.5,0.75,2
hyogo,1.5,0.5,3
masaryk,1.5,0.75,2
provok,1.5,0.5,3
neonaticid,1.5,0.5,3
1714,1.5,0.75,2
discretionari,1.5,0.5,3
brent,1.5,0.75,2
hard-cor,1.5,0.5,3
constanc,1.5,0.5,3
not-so-junior,1.5,0.75,2
voy,1.5,0.75,2
deloss,1.5,0.75,2
pennsylvanian,1.5,0.75,2
blocher,1.5,0.75,2
zubin,1.5,0.75,2
gian,1.5,0.75,2
hbcu,1.5,0.75,2
boscowen,1.5,0.75,2
dicken,1.5,0.5,3
meu,1.5,0.75,2
is,1.5,0.5,3
zumwalt,1.5,0.75,2
when,1.5,0.5,3
mammovan,1.5,0.75,2
nobler,1.5,0.375,4
buss,1.5,0.75,2
singler,1.5,0.75,2
kinslow,1.5,0.75,2
great-great-great,1.5,0.75,2
maestro,1.5,0.75,2
yoshiko,1.5,0.75,2
erich,1.5,0.75,2
3504,1.5,0.75,2
sherri,1.5,0.5,3
